iter	Logloss
0	0.6668559987
1	0.64470545
2	0.6251096461
3	0.6061390507
4	0.5880568318
5	0.5723995114
6	0.554624119
7	0.5380619144
8	0.524573058
9	0.5089153901
10	0.4946130936
11	0.4833450046
12	0.4697637049
13	0.4571435894
14	0.4450303047
15	0.4348205349
16	0.4226848344
17	0.4153826405
18	0.4060718034
19	0.3952154085
20	0.3878400592
21	0.3802768259
22	0.3725248832
23	0.3649864984
24	0.3572662028
25	0.3496004912
26	0.3418473973
27	0.3350004692
28	0.3300800147
29	0.324948131
30	0.3194261653
31	0.3147756773
32	0.3095855821
33	0.3042970488
34	0.2997387
35	0.2955485822
36	0.2906465252
37	0.2869419519
38	0.2830822276
39	0.278217313
40	0.2749225874
41	0.2699389909
42	0.2674058799
43	0.2640135633
44	0.2602786244
45	0.2572061016
46	0.2545141471
47	0.2516654344
48	0.248845936
49	0.2460314116
50	0.2437368155
51	0.2415039497
52	0.2388613664
53	0.2358617382
54	0.2331506695
55	0.2312962216
56	0.2287354384
57	0.2267351361
58	0.2244675823
59	0.2221825216
60	0.22058857
61	0.218463113
62	0.2169045879
63	0.2152116117
64	0.2135713082
65	0.2119680602
66	0.2106271113
67	0.208852639
68	0.2077133016
69	0.2063170301
70	0.2049918721
71	0.2035734672
72	0.2021862315
73	0.2010185052
74	0.1998001479
75	0.1986759932
76	0.1970852998
77	0.1958253908
78	0.1947699822
79	0.1934797077
80	0.1922811596
81	0.1912458644
82	0.1902090052
83	0.1889462508
84	0.1879227282
85	0.1868004198
86	0.1855994825
87	0.1845483529
88	0.1836078685
89	0.1826494862
90	0.1814317588
91	0.1804713565
92	0.1796059171
93	0.1787634581
94	0.1778297071
95	0.1769407008
96	0.1757020129
97	0.1748584245
98	0.1740810625
99	0.1733180579
100	0.1724378484
101	0.1717096078
102	0.1708231644
103	0.1700578683
104	0.1691593482
105	0.1684990717
106	0.1677262819
107	0.1669643198
108	0.1663189328
109	0.1657511104
110	0.1649137558
111	0.1641685404
112	0.1635011286
113	0.1630534216
114	0.1622764289
115	0.1614429732
116	0.1607098997
117	0.1598059603
118	0.1591034913
119	0.1583917258
120	0.1577250742
